0 0.634793
0.01 0.231025
0.02 0.135934
0.03 0.0883076
0.04 0.0598559
0.05 0.0414702
0.06 0.0290883
0.07 0.0205707
0.08 0.0146238
0.09 0.0104375
0.1 0.00747331
0.11 0.00536874
0.12 0.00386742
0.13 0.00279293
0.14 0.00202233
0.15 0.00146933
0.16 0.00107195
0.17 0.000785496
0.18 0.00057873
0.19 0.000429272
0.2 0.00032058
0.21 0.000241013
0.22 0.000182812
0.23 0.000140297
0.24 0.000109006
0.25 8.61017e-05
0.26 6.88814e-05
0.27 5.59596e-05
0.28 4.64772e-05
0.29 3.95136e-05
0.3 3.42154e-05
0.31 2.98464e-05
0.32 2.67622e-05
0.33 2.48281e-05
0.34 2.30052e-05
0.35 2.1945e-05
0.36 2.09708e-05
0.37 2.01498e-05
0.38 1.91775e-05
0.39 1.83911e-05
0.4 1.77683e-05
0.41 1.73263e-05
0.42 1.71225e-05
0.43 1.69892e-05
0.44 1.56989e-05
0.45 1.56002e-05
0.46 1.54812e-05
0.47 1.53838e-05
0.48 1.44076e-05
0.49 1.43083e-05
0.5 1.42412e-05
0.51 1.42041e-05
0.52 1.39675e-05
0.53 1.39414e-05
0.54 1.37538e-05
0.55 1.3741e-05
0.56 1.35066e-05
0.57 1.34918e-05
0.58 1.34697e-05
0.59 1.34376e-05
0.6 1.34281e-05
0.61 1.29973e-05
0.62 1.29855e-05
0.63 1.29719e-05
0.64 1.29555e-05
0.65 1.29459e-05
0.66 1.29183e-05
0.67 1.29117e-05
0.68 1.2272e-05
0.69 1.17721e-05
0.7 1.17679e-05
0.71 1.14774e-05
0.72 1.14701e-05
0.73 1.14631e-05
0.74 1.14559e-05
0.75 1.14468e-05
0.76 1.14409e-05
0.77 1.14289e-05
0.78 1.14242e-05
0.79 1.14043e-05
0.8 1.14008e-05
0.81 1.13389e-05
0.82 1.13364e-05
0.83 1.10283e-05
0.84 1.10263e-05
0.85 1.09675e-05
0.86 1.09655e-05
0.87 1.0897e-05
0.88 1.0895e-05
0.89 1.08702e-05
0.9 1.08663e-05
0.91 1.08465e-05
0.92 1.08438e-05
0.93 1.08006e-05
0.94 1.07978e-05
0.95 1.07788e-05
0.96 1.07743e-05
0.97 1.07656e-05
0.98 1.07625e-05
0.99 1.07378e-05
1 1.07358e-05
